issue,description_summary_category,description_summary
Anti Poverty Programs,Food insecurity,Difficulty getting ration card and access to ration
Anti Poverty Programs,Access to resources,Delay in gas connection under Ujjwala Yojana
Anti Poverty Programs,Sanitation,Lack of toilet facilities in Anganwadi centers
Anti Poverty Programs,Social welfare,Pension not issued to eligible individuals
Anti Poverty Programs,Housing,Dilapidated government housing for marginalized families
Anti Poverty Programs,Social welfare,Disabled individual not receiving pension
Anti Poverty Programs,Food insecurity,Inadequate public distribution system for ration access
Anti Poverty Programs,Public Distribution System issues,Shortage of ration cards and delayed issuance
Anti Poverty Programs,Public Distribution System issues,Inadequate ration for families with ration cards
Anti Poverty Programs,Public Distribution System issues,Delayed processing of applications to add names to ration cards
Anti Poverty Programs,Lack of government infrastructure,Delayed construction of toilets in Anganwadi centers
Anti Poverty Programs,Government pension issues,Non-receipt of pensions for eligible people
Anti Poverty Programs,Government pension issues,Delay in widow pension issuance
Anti Poverty Programs,Government pension issues,Inconsistent pension issuance for eligible people
Anti Poverty Programs,Lack of government infrastructure,Poor living conditions of Birhor families in government housing
Anti Poverty Programs,Government pension issues,Denial of disability pension to eligible people
Anti Poverty Programs,Socioeconomic issues,Lack of access to ration cards and other government schemes for poor women
Anti Poverty Programs,Land Rights,"Families living in Taraghati, Khalkatambi and Suggi villages have no lease under Forest Rights Act"
Anti Poverty Programs,Natural Disaster,Collapse of Rajkumar Ram's house without any help from Disaster Management Relief Fund
Anti Poverty Programs,Education,Mid-day meal not prepared for 3 years at Bara Bankau village anganwadi center
Anti Poverty Programs,Food Insecurity,Non-distribution of ration to 353 cardholders of Uliarajabasa
Anti Poverty Programs,Infrastructure,"Patahatu village anganwadi center running in private house, facing issues during rainy season"
Anti Poverty Programs,Social Welfare,Six residents of Ridigda village entitled to pension but still deprived due to departmental neglect
Anti Poverty Programs,Healthcare,Pregnant woman's difficulty in reaching hospital due to unpaved road
Anti Poverty Programs,Government Services,Delay in making Aadhaar cards for children in Thana Karmatand and Gudia Devi
Anti Poverty Programs,Social Welfare,Widow Sundari of Mohnachak village not receiving pension for 10 years
Anti Poverty Programs,Housing and Services,Bichhu Soren and Lalji Hembram unable to build houses and face water-related issues
Anti Poverty Programs,Housing scheme,Several families not getting benefits of housing scheme
